Period,Type,Index,Location,Zipcode
2020-08-05T05:45:01.113,asthma,2.6,"Gualala, CA",95445
2020-08-05T05:45:01.113,asthma,2.6,"Gualala, CA",95445
2020-08-06T05:45:01.437,asthma,2.6,"Gualala, CA",95445
2020-08-14T05:45:01.82,asthma,3.7,"Gualala, CA",95445
2020-08-14T05:45:01.82,asthma,3.7,"Gualala, CA",95445
2020-08-17T05:45:00.607,asthma,4.1,"Gualala, CA",95445
2020-08-27T05:44:59.86,asthma,5.9,"Gualala, CA",95445
2020-08-27T05:44:59.86,asthma,5.9,"Gualala, CA",95445
2020-08-31T05:45:00.663,asthma,5.6,"Gualala, CA",95445
2020-09-01T05:45:00.423,asthma,6.1,"Gualala, CA",95445
2020-09-02T05:45:00.983,asthma,5.8,"Gualala, CA",95445
2020-09-03T05:45:00.967,asthma,5.4,"Gualala, CA",95445
