{'train_risk': 0.06169998645782471, 'expected_risk': 0.11785715818405151, 'generalization': 0.05615717172622681}
{'train_risk': 0.11369997262954712, 'expected_risk': 0.1591571569442749, 'generalization': 0.04545718431472778}
{'train_risk': 0.13300001621246338, 'expected_risk': 0.1771143078804016, 'generalization': 0.04411429166793823}
{'train_risk': 0.0755000114440918, 'expected_risk': 0.13179999589920044, 'generalization': 0.05629998445510864}
{'train_risk': 0.09950000047683716, 'expected_risk': 0.14647144079208374, 'generalization': 0.04697144031524658}
{'train_risk': 0.08980000019073486, 'expected_risk': 0.13738572597503662, 'generalization': 0.04758572578430176}
{'train_risk': 0.06400001049041748, 'expected_risk': 0.12104284763336182, 'generalization': 0.057042837142944336}
{'train_risk': 0.08209997415542603, 'expected_risk': 0.13268572092056274, 'generalization': 0.05058574676513672}
{'train_risk': 0.05970001220703125, 'expected_risk': 0.11474287509918213, 'generalization': 0.05504286289215088}
{'train_risk': 0.07380002737045288, 'expected_risk': 0.12150001525878906, 'generalization': 0.04769998788833618}
{'train_risk': 0.06059998273849487, 'expected_risk': 0.11654287576675415, 'generalization': 0.05594289302825928}
{'train_risk': 0.10930001735687256, 'expected_risk': 0.15541428327560425, 'generalization': 0.04611426591873169}
{'train_risk': 0.09320002794265747, 'expected_risk': 0.14358574151992798, 'generalization': 0.05038571357727051}
{'train_risk': 0.06160002946853638, 'expected_risk': 0.11848568916320801, 'generalization': 0.05688565969467163}
{'train_risk': 0.07380002737045288, 'expected_risk': 0.1241714358329773, 'generalization': 0.050371408462524414}
{'train_risk': 0.06790000200271606, 'expected_risk': 0.12278568744659424, 'generalization': 0.054885685443878174}
{'train_risk': 0.0746999979019165, 'expected_risk': 0.12681430578231812, 'generalization': 0.05211430788040161}
{'train_risk': 0.0964999794960022, 'expected_risk': 0.1453285813331604, 'generalization': 0.0488286018371582}
{'train_risk': 0.08050000667572021, 'expected_risk': 0.12937140464782715, 'generalization': 0.048871397972106934}
{'train_risk': 0.05889999866485596, 'expected_risk': 0.11874288320541382, 'generalization': 0.05984288454055786}
{'train_risk': 0.13190001249313354, 'expected_risk': 0.1738714575767517, 'generalization': 0.041971445083618164}
{'train_risk': 0.06309998035430908, 'expected_risk': 0.12198573350906372, 'generalization': 0.05888575315475464}
{'train_risk': 0.11669999361038208, 'expected_risk': 0.16214287281036377, 'generalization': 0.04544287919998169}
{'train_risk': 0.06959998607635498, 'expected_risk': 0.12394285202026367, 'generalization': 0.05434286594390869}
{'train_risk': 0.04900002479553223, 'expected_risk': 0.10805714130401611, 'generalization': 0.05905711650848389}
{'train_risk': 0.12550002336502075, 'expected_risk': 0.16631430387496948, 'generalization': 0.04081428050994873}
{'train_risk': 0.09390002489089966, 'expected_risk': 0.14644283056259155, 'generalization': 0.052542805671691895}
{'train_risk': 0.05510002374649048, 'expected_risk': 0.11101430654525757, 'generalization': 0.05591428279876709}
{'train_risk': 0.056800007820129395, 'expected_risk': 0.107871413230896, 'generalization': 0.0510714054107666}
{'train_risk': 0.13690000772476196, 'expected_risk': 0.17877143621444702, 'generalization': 0.04187142848968506}
{'train_risk': 0.06919997930526733, 'expected_risk': 0.12250000238418579, 'generalization': 0.05330002307891846}
{'train_risk': 0.08749997615814209, 'expected_risk': 0.138871431350708, 'generalization': 0.05137145519256592}
{'train_risk': 0.06440001726150513, 'expected_risk': 0.11901426315307617, 'generalization': 0.054614245891571045}
{'train_risk': 0.1096000075340271, 'expected_risk': 0.1574285626411438, 'generalization': 0.0478285551071167}
{'train_risk': 0.13450002670288086, 'expected_risk': 0.1728428602218628, 'generalization': 0.038342833518981934}
{'train_risk': 0.056500017642974854, 'expected_risk': 0.11479997634887695, 'generalization': 0.0582999587059021}
{'train_risk': 0.06379997730255127, 'expected_risk': 0.11824285984039307, 'generalization': 0.0544428825378418}
{'train_risk': 0.07480001449584961, 'expected_risk': 0.13002854585647583, 'generalization': 0.05522853136062622}
{'train_risk': 0.10659998655319214, 'expected_risk': 0.14958572387695312, 'generalization': 0.042985737323760986}
{'train_risk': 0.058600008487701416, 'expected_risk': 0.1120571494102478, 'generalization': 0.05345714092254639}
{'train_risk': 0.06950002908706665, 'expected_risk': 0.1168857216835022, 'generalization': 0.04738569259643555}
{'train_risk': 0.10979998111724854, 'expected_risk': 0.15374284982681274, 'generalization': 0.04394286870956421}
{'train_risk': 0.058600008487701416, 'expected_risk': 0.11239999532699585, 'generalization': 0.053799986839294434}
{'train_risk': 0.060100018978118896, 'expected_risk': 0.11489999294281006, 'generalization': 0.05479997396469116}
{'train_risk': 0.06440001726150513, 'expected_risk': 0.1193857192993164, 'generalization': 0.05498570203781128}
{'train_risk': 0.15380001068115234, 'expected_risk': 0.19371426105499268, 'generalization': 0.03991425037384033}
{'train_risk': 0.10430002212524414, 'expected_risk': 0.14897143840789795, 'generalization': 0.04467141628265381}
{'train_risk': 0.1021999716758728, 'expected_risk': 0.15122854709625244, 'generalization': 0.04902857542037964}
{'train_risk': 0.15939998626708984, 'expected_risk': 0.19615715742111206, 'generalization': 0.03675717115402222}
{'train_risk': 0.05940002202987671, 'expected_risk': 0.11401426792144775, 'generalization': 0.054614245891571045}
{'train_risk': 0.12519997358322144, 'expected_risk': 0.1745142936706543, 'generalization': 0.04931432008743286}
{'train_risk': 0.09049999713897705, 'expected_risk': 0.14158570766448975, 'generalization': 0.051085710525512695}
{'train_risk': 0.07770001888275146, 'expected_risk': 0.1280999779701233, 'generalization': 0.050399959087371826}
{'train_risk': 0.13300001621246338, 'expected_risk': 0.17398571968078613, 'generalization': 0.040985703468322754}
{'train_risk': 0.06919997930526733, 'expected_risk': 0.11809998750686646, 'generalization': 0.04890000820159912}
{'train_risk': 0.1777999997138977, 'expected_risk': 0.21318572759628296, 'generalization': 0.035385727882385254}
{'train_risk': 0.10979998111724854, 'expected_risk': 0.156585693359375, 'generalization': 0.046785712242126465}
{'train_risk': 0.06730002164840698, 'expected_risk': 0.12209999561309814, 'generalization': 0.05479997396469116}
{'train_risk': 0.13580000400543213, 'expected_risk': 0.17655712366104126, 'generalization': 0.04075711965560913}
{'train_risk': 0.06029999256134033, 'expected_risk': 0.11251425743103027, 'generalization': 0.05221426486968994}
{'train_risk': 0.29600000381469727, 'expected_risk': 0.31865715980529785, 'generalization': 0.022657155990600586}
{'train_risk': 0.07330000400543213, 'expected_risk': 0.1258142590522766, 'generalization': 0.05251425504684448}
