subject,number,title,prerequisites,recommended
MATH,417,Complex Analysis with Applications,Grade C or better in MATH 210. Departmental Approval Required,
MATH,435,Foundations of Number Theory,Grade of C or better in MATH 215. Departmental Approval Required,
MATH,480,Applied Differential Equations,Grade of C or better in MATH 220. Departmental Approval Required,
MATH,496,Independent Study,Approval of the instructor and the department. This course counts toward the limited number of independent study hours accepted toward the degree and the major,
MATH,506,Model Theory I,MATH 502 or PHIL 562,
MATH,511,Descriptive Set Theory,,MATH 445 or MATH 504 or MATH 533 or MATH 539
MATH,514,Number Theory I,,
MATH,516,Second Course in Abstract Algebra I,MATH 330 and MATH 425,
MATH,533,Real Analysis I,MATH 411 or MATH 414 or the equivalent,
MATH,539,Functional Analysis I,MATH 533,
MATH,547,Algebraic Topology I,MATH 330 and MATH 445,
MATH,552,Algebraic Geometry I,,
MATH,569,Advanced Topics in Geometric and Differential Topology,Approval of the department,
MATH,571,Advanced Topics in Algebraic Geometry,Approval of the department,
MATH,580,Mathematics of Fluid Mechanics,Grade of C or better in MATH 410 and grade of C or better in MATH 417 and grade of C or better in MATH 481,
MATH,584,Applied Stochastic Models,"MATH 417 and MATH 481 and STAT 401, or consent of the instructor",
MATH,585,Ordinary Differential Equations,MATH 313 or MATH 480 or approval of the department,
MATH,589,Teaching and Presentation of Mathematics,,
MATH,590,Advanced Topics in Applied Mathematics,Approval of the department,
MATH,593,Graduate Student Seminar,Approval of the department. Instructor Approval Required,
MATH,594,Internship in Mathematics,Completion of the core courses in the degree program in which the student is enrolled and approval of the internship program by the graduate adviser and the graduate studies committee. Departmental Approval Required,
MATH,595,Research Seminar,Approval of the department. Instructor Approval Required,
MATH,596,Independent Study,Approval of the instructor and the department,
MATH,598,Master's Thesis,Approval of the department,
MATH,599,Thesis Research,Approval of the department,
STAT,401,Introduction to Probability,Grade of C or better in MATH 210; or approval of the department,
STAT,411,Statistical Theory,Grade of C or better in STAT 401. Departmental Approval Required,
STAT,431,Introduction to Survey Sampling,Grade of C or better in STAT 411 or STAT 481,
STAT,461,Applied Probability Models I,Grade of C or better in STAT 401,
STAT,473,Game Theory,STAT 381; or ECON 270; or equivalents,
STAT,475,Mathematics and Statistics for Actuarial Sciences I,Math 210,
